0 ou 1,"Authors	Title	Year	Source title	Volume	Issue	Art. No.	Page start	Page end	Page count	Cited by	DOI	Link	Affiliations	Authors with affiliations	Abstract	Author Keywords	Document Type	Source	EID",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Gupta, M., Rao, R.S., Pande, A., Tripathi, A.K.	Design pattern mining using state space representation of graph matching	2011	Communications in Computer and Information Science	131 CCIS	PART 1		318	328		2	10.1007/978-3-642-17857-3_32	http://www.scopus.com/inward/record.url?eid=2-s2.0-84857279157&partnerID=40&md5=aeabf2e0c32bc25631778af912c7e47b	""Department of Computer Science", DST-Centre for Interdisciplinary Mathematical Sciences, Banaras Hindu University, Varanasi," India""	""Gupta", M., Department of Computer Science, DST-Centre for Interdisciplinary Mathematical Sciences, Banaras Hindu University, Varanasi, India; Rao, R.S., Department of Computer Science, DST-Centre for Interdisciplinary Mathematical Sciences, Banaras Hindu University, Varanasi, India; Pande, A., Department of Computer Science, DST-Centre for Interdisciplinary Mathematical Sciences, Banaras Hindu University, Varanasi, India; Tripathi, A.K., Department of Computer Science, DST-Centre for Interdisciplinary Mathematical Sciences, Banaras Hindu University, Varanasi," India""	""Design Pattern Detection is a part of many solutions to Software Engineering problems. It is a part of reengineering process and thus gives significant information to the designer. Design Pattern improves the program understanding and software maintenance. Therefore"," a reliable design pattern discovery is required. Graph theoretic approaches have been used for design pattern detection in past. Here we are applying state space representation of graph matching algorithm for design pattern detection. State space representation easily describes the graph matching process. Using our approach variants of each design pattern as well as any occurrence of a design pattern can be detected. Â© Springer-Verlag Berlin Heidelberg 2011.""	Design pattern; State space representation; Subgraph isomorphism; UML	Conference Paper	Scopus	2-s2.0-84857279157",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"[No author name available]	""Joint Proceedings of the 1st International Workshop on Model-Driven Software Migration", MDSM 2011 and the 5th International Workshop on Software Quality and Maintainability, SQM 2011 - Workshops at the 15th European Conference on Software Maintenance and Reengineering," CSMR 2011""	2011	CEUR Workshop Proceedings	708					87			http://www.scopus.com/inward/record.url?eid=2-s2.0-84891925903&partnerID=40&md5=a1ff3e908aff6354215409e7e9ac1bee			The proceedings contain 13 papers. The topics discussed include: model-driven migration of scientific legacy systems to service-oriented architectures; model-driven modernisation of Java programs with JaMoPP; DynaMod project: dynamic analysis for model-driven software modernization; REMICS project: reuse and migration of legacy applications to interoperable cloud services; SOAMIG project: model-driven migration towards service-oriented architectures; comprehensive model integration for dependency identification with EMFTrace; combining multiple dimensions of knowledge in API migration; automated quality defect detection in software development documents; design pattern detection using software metrics and machine learning; using the Tropos approach to inform the UML design: an experiment report; tool-supported estimation of software evolution effort in service-oriented systems; and preparing for a literature survey of software architecture using formal concept analysis.		Conference Review	Scopus	2-s2.0-84891925903",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Sartipi, K., Hu, L.	Behavior-driven design pattern recovery	2008	""Proceedings of the 9th IASTED International Conference on Software Engineering and Applications"," SEA 2008""				179	185		3		http://www.scopus.com/inward/record.url?eid=2-s2.0-74549208000&partnerID=40&md5=ffe497bfbce86065647db9e5cf1095fc	""Department or Computing and Software", McMaster University, Hamilton, ON," Canada""	""Sartipi", K., Department or Computing and Software, McMaster University, Hamilton, ON, Canada; Hu, L., Department or Computing and Software, McMaster University, Hamilton, ON," Canada""	""In this paper", we present an approach for enhancing program understanding and reusability through a behavior-driven design pattern recovery process. In this context, incorporating behavioral features would characterize the approach as a goal-driven and scalable pattern recovery process. The proposed technique consists of a feature-oriented dynamic analysis and a two-phase design pattern detection process. The dynamic analysis operates on the system's scenario-driven execution traces and produces a mapping between features and their implementation at class level. For the two-phase design pattern detection," we employ approximate matching and structural matching algorithms to identify the instances of the target design pattern that is described using our proposed Pattern Description Language (PDL). The correspondence between system features and identified design pattern instances can facilitate the construction of more reusable and configurable software components to be maintained. We have implemented an Eclipse plug-in toolkit and have conducted experimentation on three versions of JHotDraw systems to evaluate our approach.""	Behavior feature; Design pattern detection; Dynamic analysis; Feature-specific scenario; Pattern matching	Conference Paper	Scopus	2-s2.0-74549208000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Gupta, C., Menon, M., Debnath, N.	Optimization in dp detection using arg	2011	""Proceedings of the ISCA 24th International Conference on Computer Applications in Industry and Engineering"," CAINE 2011""				205	209				http://www.scopus.com/inward/record.url?eid=2-s2.0-84871999903&partnerID=40&md5=12425b78593bdc09e4734729679efd52	""CSED MNNIT", Allahabad, India; Winona State University, Winona State," United States""	""Gupta", C., CSED MNNIT, Allahabad, India; Menon, M., CSED MNNIT, Allahabad, India; Debnath, N., Winona State University, Winona State," United States""	""Design patterns form general repeatable solutions used in software design. Their recovery from software code caters towards better system understandability. In this paper we propose a novel approach", to detect design patterns from software code," that represents various class relationships and attributes in form of class weights and class matrix and then performs safe filtering to optimize the matrix followed by generation of Attributed Relational Graph (ARG) and then usage modified sub-graph isomorphism to match the ARGs. Our approach is based on the XMI standard.""	Attributed relational graph; Detection algorithms; Graph-subgraph isomorphism; Pattern recognition	Conference Paper	Scopus	2-s2.0-84871999903",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Maji, P., Pal, S.K.	Rough-Fuzzy Pattern Recognition: Applications in Bioinformatics and Medical Imaging	2012	Rough-Fuzzy Pattern Recognition: Applications in Bioinformatics and Medical Imaging						289	20	10.1002/9781118119723	http://www.scopus.com/inward/record.url?eid=2-s2.0-84891583441&partnerID=40&md5=c5cd387f1bc395786dcf2b07e974a715	""Machine Intelligence Unit", Indian Statistical Institute, Kolkata, India; Bengal Engineering and Science University, Shibpur, Howrah, India; Center for Soft Computing Research, Indian Statistical Institute, Kolkata," India""	""Maji", P., Machine Intelligence Unit, Indian Statistical Institute, Kolkata, India, Bengal Engineering and Science University, Shibpur, Howrah, India; Pal, S.K., Center for Soft Computing Research, Indian Statistical Institute, Kolkata," India""	""Learn how to apply rough-fuzzy computing techniques to solve problems in bioinformatics and medical image processing. Emphasizing applications in bioinformatics and medical image processing", this text offers a clear framework that enables readers to take advantage of the latest rough-fuzzy computing techniques to build working pattern recognition models. The authors explain step by step how to integrate rough sets with fuzzy sets in order to best manage the uncertainties in mining large data sets. Chapters are logically organized according to the major phases of pattern recognition systems development, making it easier to master such tasks as classification, clustering, and feature selection. Rough-Fuzzy Pattern Recognition examines the important underlying theory as well as algorithms and applications, helping readers see the connections between theory and practice. The first chapter provides an introduction to pattern recognition and data mining, including the key challenges of working with high-dimensional, real-life data sets. Next, the authors explore such topics and issues as: Soft computing in pattern recognition and data mining. A Mathematical framework for generalized rough sets, incorporating the concept of fuzziness in defining the granules as well as the set. Selection of non-redundant and relevant features of real-valued data sets. Selection of the minimum set of basis strings with maximum information for amino acid sequence analysis. Segmentation of brain MR images for visualization of human tissues. Numerous examples and case studies help readers better understand how pattern recognition models are developed and used in practice. This text-covering the latest findings as well as directions for future research-is recommended for both students and practitioners working in systems design, pattern recognition, image analysis, data mining, bioinformatics, soft computing, and computational intelligence. Â© 2012 John Wiley & Sons," Inc.""		Book	Scopus	2-s2.0-84891583441",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Keyes, L., Winstanley, A.	Shape Description for Automatically Structuring Graphical Data	2004	Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics)	3088			256	264		2		http://www.scopus.com/inward/record.url?eid=2-s2.0-33749000467&partnerID=40&md5=34fd0960dcd9e783531e469befc5a882	""Dept. of Computer Science", National University of Ireland, Maynooth, Co. Kildare," Ireland""	""Keyes", L., Dept. of Computer Science, National University of Ireland, Maynooth, Co. Kildare, Ireland; Winstanley, A., Dept. of Computer Science, National University of Ireland, Maynooth, Co. Kildare," Ireland""	""This work explores automatic object recognition and semantic capture in vector graphics through shape description. The low-level graphical content of graphical documents", such as a map or architectural drawing, are often captured manually and the encoding of the semantic content seen as an extension of this. The large quantity of new and archived graphical data available on paper makes automatic structuring of such graphical data desirable. Contour shape description techniques, such as Fourier descriptors, moment invariants play an important role in systems for object recognition and representation. However, most work carried out in this area has concentrated on categories of object boundaries representing very specific shapes (for example," a particular type of aircraft). Two classifiers were implemented and proved accurate in their automatic recognition of objects from drawings in different domains. Classical classifier combination techniques were used to improve performance. Further work will employ more complex fusion techniques and it is envisaged they will be used in combination with recognition based on object context using various modelling methods. A demonstration system has been constructed using all these techniques. Â© Springer-Verlag 2004.""		Article	Scopus	2-s2.0-33749000467",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Von Detten, M., Meyer, M., Travkin, D.	Reverse engineering with the reclipse tool suite	2010	Proceedings - International Conference on Software Engineering	2			299	300		10	10.1145/1810295.1810360	http://www.scopus.com/inward/record.url?eid=2-s2.0-77954706960&partnerID=40&md5=e7861067ab4ceb633dd20e9fc2bdaee6	""Heinz Nixdorf Institute", Department of Computer Science, University of Paderborn," Germany""	""Von Detten", M., Heinz Nixdorf Institute, Department of Computer Science, University of Paderborn, Germany; Meyer, M., Heinz Nixdorf Institute, Department of Computer Science, University of Paderborn, Germany; Travkin, D., Heinz Nixdorf Institute, Department of Computer Science, University of Paderborn," Germany""	""Design pattern detection is a reverse engineering methodology that helps software engineers to analyze and understand legacy software by recovering its design and thereby aiding in the preparation of re-engineering activities. We present Reclipse"," a reverse engineering tool suite for static and dynamic design pattern detection in combination with a pattern candidate rating used to assess the detection results' reliability. Â© 2010 ACM.""		Conference Paper	Scopus	2-s2.0-77954706960",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Janez, M., Bajec, I.L., Pecar, P., Jazbec, A., Zimic, N., Mraz, M.	Automatic design of optimal logic circuits based on ternary quantum-dot cellular automata	2008	WSEAS Transactions on Circuits and Systems	7	9		919	928		5		http://www.scopus.com/inward/record.url?eid=2-s2.0-59249097067&partnerID=40&md5=58e243a937451999ff6e2be8d57729c1	""Faculty of Computer and Information Science", Computer Structures and Systems Laboratory, University of Ljubljana, Trzaska cesta 25, 1000 Ljubljana," Slovenia""	""Janez", M., Faculty of Computer and Information Science, Computer Structures and Systems Laboratory, University of Ljubljana, Trzaska cesta 25, 1000 Ljubljana, Slovenia; Bajec, I.L., Faculty of Computer and Information Science, Computer Structures and Systems Laboratory, University of Ljubljana, Trzaska cesta 25, 1000 Ljubljana, Slovenia; Pecar, P., Faculty of Computer and Information Science, Computer Structures and Systems Laboratory, University of Ljubljana, Trzaska cesta 25, 1000 Ljubljana, Slovenia; Jazbec, A., Faculty of Computer and Information Science, Computer Structures and Systems Laboratory, University of Ljubljana, Trzaska cesta 25, 1000 Ljubljana, Slovenia; Zimic, N., Faculty of Computer and Information Science, Computer Structures and Systems Laboratory, University of Ljubljana, Trzaska cesta 25, 1000 Ljubljana, Slovenia; Mraz, M., Faculty of Computer and Information Science, Computer Structures and Systems Laboratory, University of Ljubljana, Trzaska cesta 25, 1000 Ljubljana," Slovenia""	""This paper treats the problems involved in the design of logic circuits based on novel processing platform. It begins with description of the ternary quantum-dot cell", an extended classic binary cell. These cells are basic building blocks of quantum-dot cellular automata. They are used to construct simple structures with inputs and output which implement some ternary logic function. These structures are employed as building blocks of larger and more complex circuits. The computer-aided design tool that finds an optimal implementation of a circuit by bottom-up approach is described. The search of a solution is based on iterative deepening. Since searching over all possible solutions is too computationally complex," heuristics are used to reduce the computation time.""	Computer-aided design; Heuristics; Iterative deepening; Logic circuits; Quantum-dot cellular automata; Ternary logic; Ternary quantum-dot cell	Article	Scopus	2-s2.0-59249097067",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Wendehals, L., Orso, A.	Recognizing behavioral patterns at runtime using finite automata	2006	Proceedings - International Conference on Software Engineering				33	39		4	10.1145/1138912.1138920	http://www.scopus.com/inward/record.url?eid=2-s2.0-77953563412&partnerID=40&md5=035a97a4e0d72ec62a44bab35a80ea1f	""Software Engineering Group", Department of Computer Science, University of Paderborn, Germany; SPARC Group, College of Computing, Georgia Institute of Technology," United States""	""Wendehals", L., Software Engineering Group, Department of Computer Science, University of Paderborn, Germany; Orso, A., SPARC Group, College of Computing, Georgia Institute of Technology," United States""	""During reverse engineering", developers often need to understand the undocumented design of a software. In particular, recognizing design patterns in the software can provide reverse engineers with considerable insight on the software structure and its internal characteristics. Researchers have therefore proposed techniques based on static analysis to automatically recover design patterns in a program. Unfortunately, most design patterns comprise not only structural, but also significant behavioral aspects. Although static analysis is well suited for the recognition of structural aspects, it is typically limited and imprecise in analyzing behavior. To address this limitation, we present a new technique that complements our existing static analysis with a dynamic analysis, so as to perform a more accurate design-pattern recognition. The dynamic analysis is based on (1) transforming behavioral aspects of design patterns into finite automata, (2) identifying and instrumenting relevant method calls," and (3) monitoring relevant calls at runtime and matching them against the automata. The results of the dynamic analysis are then used to compute the likelihood of a pattern to be in the code. This paper describes our technique and presents a preliminary empirical study performed to assess the technique. Copyright 2006 ACM.""	design pattern recognition; finite automata; static and dynamic analysis; tracing	Conference Paper	Scopus	2-s2.0-77953563412",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Henrys, P.A., Brown, P.E.	Inference for clustered inhomogeneous spatial point processes	2009	Biometrics	65	2		423	430		6	10.1111/j.1541-0420.2008.01070.x	http://www.scopus.com/inward/record.url?eid=2-s2.0-66949151328&partnerID=40&md5=a0bb8e652d9dd7d5701f5e01032255d8	""Department of Mathematics and Statistics", Lancaster University, Lancaster LA1 4YF, United Kingdom; Department of Public Health Sciences, University of Toronto and Cancer Care Ontario, Toronto, ON M5G 2L7," Canada""	""Henrys", P.A., Department of Mathematics and Statistics, Lancaster University, Lancaster LA1 4YF, United Kingdom; Brown, P.E., Department of Public Health Sciences, University of Toronto and Cancer Care Ontario, Toronto, ON M5G 2L7," Canada""	""We propose a method to test for significant differences in the levels of clustering between two spatial point processes (cases and controls) while taking into account differences in their first-order intensities. The key advance on earlier methods is that the controls are not assumed to be a Poisson process. Inference and diagnostics are based around the inhomogeneous K-function with confidence envelopes obtained from either resampling events in a nonparametric bootstrap approach", or simulating new events as in a parametric bootstrap. Methods developed are demonstrated using the locations of adult and juvenile trees in a tropical forest. A simulation study briefly examines the accuracy and power of the inferential procedures. Â© 2008," The International Biometric Society.""	Clustering; Ecology; Environmental epidemiology; Inhomogeneous; Spatial point processes	Article	Scopus	2-s2.0-66949151328",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Bricken, W.	Syntactic variety in boundary logic	2006	Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics)	4045 LNAI			73	87			10.1007/11783183_9	http://www.scopus.com/inward/record.url?eid=2-s2.0-33746191654&partnerID=40&md5=9a7fc27f2aeb97439cb4fd4ba50c1da9	""Boundary Institute", 18488 Prospect Road, Saratoga, CA 95070," United States""	""Bricken", W., Boundary Institute, 18488 Prospect Road, Saratoga, CA 95070," United States""	""Boundary logic is a formal diagrammatic system that combines Peirce's Entitative Graphs with Spencer Brown's Laws of Form. Its conceptual basis includes boundary forms composed of non-intersecting closed curves", void-substitution (deletion of irrelevant structure) as the primary mechanism of reduction, and spatial pattern-equations that define valid transformations. Pure boundary algebra, free of interpretation, is first briefly described, followed by a description of boundary logic. Then several new diagrammatic notations for logic derived from geometrical and topological transformation of boundary forms are presented. The algebra and an example proof of modus ponens is provided for textual, enclosure, graph, map, path and block based forms. These new diagrammatic languages for logic convert connectives into configurations of containment, connectivity, contact, conveyance," and concreteness. Â© Springer-Verlag Berlin Heidelberg 2006.""		Conference Paper	Scopus	2-s2.0-33746191654",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Kakade, J., Kagaris, D., Pradhan, D.K.	Evaluation of generalized LFSRs as test pattern generators in two-dimensional scan designs	2008	IEEE Transactions on Computer-Aided Design of Integrated Circuits and Systems	27	9	4603082	1689	1692		1	10.1109/TCAD.2008.927763	http://www.scopus.com/inward/record.url?eid=2-s2.0-50549089176&partnerID=40&md5=1f3c41f333dd0c479d6a85525b153749	""Department of Electrical and Computer Engineering", Southern Illinois University, Carbondale, IL 62901-6603, United States; Computer Science Department, University of Bristol, BS8 1UB Bristol," United Kingdom""	""Kakade", J., Department of Electrical and Computer Engineering, Southern Illinois University, Carbondale, IL 62901-6603, United States; Kagaris, D., Department of Electrical and Computer Engineering, Southern Illinois University, Carbondale, IL 62901-6603, United States; Pradhan, D.K., Computer Science Department, University of Bristol, BS8 1UB Bristol," United Kingdom""	""Linear finite-state machines (LFSMs) such as linear feedback shift registers (LFSRs)", cellular automata (CA), and ring generators (RGs) are used as test pattern generators in built-in self-test schemes that employ 2-D scan design. These mechanisms are usually accompanied by phase shifters (PSs) in order to avoid the degradation of the fault coverage caused by correlations/dependences in the produced test bit sequences. Given this context, we investigate in this paper the potential of generalized (or Galois) LFSRs (GLFSRs) as onboard test pattern generators. We compare GLFSRs with and without PSs against LFSMs with PSs (LFSM/PSs) for various types of LFSMs (LFSRs, CA, RGs," and dense RGs) on two accounts: channel separation and overall hardware cost. Experimental results show that GLFSRs achieve larger channel separation with lower hardware cost than LFSM/PS and attain higher fault coverage. Â© 2008 IEEE.""	2-D scan designs; Built-in self-test (BIST); Cellular automaton; Linear dependences; Linear feedback shift register (LFSR); Linear finite-state machine (LFSM); Phase shifters (PSs); Ring generator (RG)	Article	Scopus	2-s2.0-50549089176",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Chen, C.F., Yang, S.-H., Falsafi, B., Moshovos, A.	Accurate and complexity-effective spatial pattern prediction	2004	IEEE High-Performance Computer Architecture Symposium Proceedings	10			276	287		10		http://www.scopus.com/inward/record.url?eid=2-s2.0-2342482320&partnerID=40&md5=928485e14c03d404e7cc059a92cb5bcf	""Computer Architecture Laboratory", Carnegie Mellon University, United States; Electrical and Computer Engineering, University of Toronto," Canada""	""Chen", C.F., Computer Architecture Laboratory, Carnegie Mellon University, United States; Yang, S.-H., Computer Architecture Laboratory, Carnegie Mellon University, United States; Falsafi, B., Computer Architecture Laboratory, Carnegie Mellon University, United States; Moshovos, A., Electrical and Computer Engineering, University of Toronto," Canada""	""Recent research suggests that there are large variations in a cache's spatial usage", both within and across programs. Unfortunately, conventional caches typically employ fixed cache line sizes to balance the exploitation of spatial and temporal locality, and to avoid prohibitive cache fill bandwidth demands. The resulting inability of conventional caches to exploit spatial variations leads to sub-optimal performance and unnecessary cache power dissipation. This paper describes the Spatial Pattern Predictor (SPP), a cost-effective hardware mechanism that accurately predicts reference patterns within a spatial group (i.e., a contiguous region of data in memory) at runtime. The key observation enabling an accurate, yet low-cost, SPP design is that spatial patterns correlate well with instruction addresses and data reference offsets within a cache line. We require only a small amount of predictor memory to store the predicted patterns. Simulation results for a 64-Kbyte 2-way set-associative L1 data cache with 64-byte lines show that: (1) a 256-entry tag-less direct-mapped SPP can achieve, on average, a prediction coverage of 95%, over-predicting the patterns by only 8%, (2) assuming a 70nm process technology, the SPP helps reduce leakage energy in the base cache by 41% on average, incurring less than 1% performance degradation," and (3) prefetching spatial groups of up to 512 bytes using SPP improves execution time by 33% on average and up to a factor of two.""		Conference Paper	Scopus	2-s2.0-2342482320",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"[No author name available]	SIGAda 2011 - Proceedings of the 2011 ACM International Conference on Ada and Related Technologies	2011	Proceedings of the ACM SIGAda Annual International Conference; SIGAda						72			http://www.scopus.com/inward/record.url?eid=2-s2.0-83455164900&partnerID=40&md5=98524c6938de13b1a29761130b9b7cc6			The proceedings contain 10 papers. The topics discussed include: how to measure and optimize reliable embedded software; service-oriented architecture (SOA) concepts and implementations; improving quality of Ada software with range analysis; SF1: introduction to Ada; designing and checking coding standards for Ada; building embedded real-time applications; a parallel programming model for Ada; stack safe parallel recursion with paraffin; how to make Ada go viral; software vulnerabilities precluded by SPARK; enhancing SPARK's contract checking facilities using symbolic execution; an Ada design pattern recognition tool for AADL performance analysis; improving quality of Ada software with range analysis; making the non-executable ACATS tests executable; and DO-178C: the next avionics safety standard.		Conference Review	Scopus	2-s2.0-83455164900",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Shen, J., Jin, X., Mao, X., Feng, J.	Completion-based texture design using deformation	2006	Visual Computer	22	11-Sep		936	945		13	10.1007/s00371-006-0079-2	http://www.scopus.com/inward/record.url?eid=2-s2.0-33748558142&partnerID=40&md5=3c80fa2a161a18dad216e2a0b2b80923	""State Key Lab. of CAD and CG", Zhejiang University, Hangzhou,310027, China; University of Yamanashi," Japan""	""Shen", J., State Key Lab. of CAD and CG, Zhejiang University, Hangzhou,310027, China; Jin, X., State Key Lab. of CAD and CG, Zhejiang University, Hangzhou,310027, China; Mao, X., University of Yamanashi, Japan; Feng, J., State Key Lab. of CAD and CG, Zhejiang University, Hangzhou,310027," China""	""In this paper", we present a novel approach for designing a variety of large textures from a single small sample texture. Firstly, the original small texture is segmented into layers, each of which contains one particular texture element. Secondly, each layer is deformed using a set of chaotic-based transformation operations. Thirdly, all the deformed layers are added together to form a new texture, which is a natural variation of the original sample texture. Since each layer is deformed independently, adding the deformed layers together usually results in a texture with overlapping regions and holes. We employ the graphcut algorithm and an example-based image inpainting technique to seamlessly patch the overlapping regions and to fill the holes. Moreover, an optimized graphcut synthesis algorithm and a new cyclic texture synthesis technique are also developed for efficiently creating large seamless textures. As a result, our approach shows particular strength in generating a large variety of textures from a single sample texture while avoiding highly repetitive patterns. Our experiments demonstrate that the proposed technique can also be used for other texture synthesis applications," such as texture synthesis from multiple samples.""	Cyclic texture; Deformation; Layer completion; Texture design	Article	Scopus	2-s2.0-33748558142",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Gao, G., Zhu, Y., Duang, G., Fang, Y.	High precision formation for two-photon 3D microfabrication	2006	""2006 IEEE International Conference on Robotics and Biomimetics"," ROBIO 2006""			4142100	1571	1575			10.1109/ROBIO.2006.340178	http://www.scopus.com/inward/record.url?eid=2-s2.0-46249111597&partnerID=40&md5=015347705454fdbdc43692c792e38967	""Department of Precision Instrument and Mechanolog", Tsinghua University, Beijing," China""	""Gao", G., Department of Precision Instrument and Mechanolog, Tsinghua University, Beijing, China; Zhu, Y., Department of Precision Instrument and Mechanolog, Tsinghua University, Beijing, China; Duang, G., Department of Precision Instrument and Mechanolog, Tsinghua University, Beijing, China; Fang, Y., Department of Precision Instrument and Mechanolog, Tsinghua University, Beijing," China""	""Two-photon 3D microfabrication has become one research focus in MEMS field. The main factors influencing the fabrication precision are discussed in this paper. One factor is decided by the characteristics of the two-photon polymerization", includes the power of the Femtosecond (fs) laser, the exposing time and the overlap ratio, etc. The other is mainly induced by the movement error of machining system. According to these factors, the high precision formation mechanism is proposed. Through experiment and theory analysis, the machining process parameters are optimized. In order to compensate the movement error of the scanning stage," a vision monitoring system based on image process and pattern recognition is developed. The experiment results show the availability of these methods. Â©2006 IEEE.""	Error compensation; Precision formation; Process parameter optimization; Two-photon 3D microfabrication; Vision monitoring system	Conference Paper	Scopus	2-s2.0-46249111597",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Tsukamoto, H., Nishiyama, M.	Diffractive white-light diffuser with subwavelength structure	2006	""Japanese Journal of Applied Physics"," Part 1: Regular Papers and Short Notes and Review Papers""	45	8 B		6678	6682		1	10.1143/JJAP.45.6678	http://www.scopus.com/inward/record.url?eid=2-s2.0-33747704258&partnerID=40&md5=eadefd66d81ed965e66ca607be72330d	""Core Technology Center", Nikon Corporation, Kumagaya, Saitama 360-8559," Japan""	""Tsukamoto", H., Core Technology Center, Nikon Corporation, Kumagaya, Saitama 360-8559, Japan; Nishiyama, M., Core Technology Center, Nikon Corporation, Kumagaya, Saitama 360-8559," Japan""	""Diffractive diffusers have some desirable characteristics", whereas they have a large dependence on wavelengths. For their application over a wide wavelength range, achromatization is planned for diffractive-type optical diffusers. A diffracted pattern can be achromatized by fixing the ratio of each optical path area and optimizing the multiwavelength diffracted patterns simultaneously. Subwavelength pillar structures are used for multilevel optical path regions. We fabricated test pieces to demonstrate this method. Patterns were formed by KrF and ArF stepper lithography and dry etching, and then replicated to resin by UV nanoimprint. Simulations and measurements gave similar results," which suggests that these methods for achromatization work well. Diffractive white-light diffusers will be realized when elements with subwavelength high-aspect-ratio pillar structures are fabricated precisely as designed. Â© 2006 The Japan Society of Applied Physics.""	Achromatization; Beam shaper; Diffractive optical elements; Diffuser; Effective index; High-aspect-ratio structure; Lithography; Subwavelength structure; UV nanoimprint	Article	Scopus	2-s2.0-33747704258",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
